class,all_times_hist_peak_val,cad_probs_1,cad_probs_100000,n_epochs,total_time
LINEAR,36,0.0,1.0,20,51.966094
LINEAR,2896,0.00738007380074,0.981549815498,272,1978.758578
SuperWASP,968,0.34,1.0,101,50.90277
SuperWASP,39758,0.458077709611,1.0,979,95.8669099999
Kepler,1145,0.0,1.0,235,4.842927023
Stripe82,6,0.0,0.8,11,760.006718
LINEAR,264,0.0,0.971428571429,71,709.061937
ASAS,6175,0.0,0.975757575758,331,3038.93711
ASAS,16314,0.0,0.992592592593,406,1210.0317
ASAS,661,0.0,0.985074626866,135,697.08466
OGLE-III,35,0.0,1.0,40,84.02796
Hipparcos,122,0.0,0.96875,33,255.20323
Stripe82,355,0.0,0.884615384615,53,3309.033382
OGLE-I,64,0.0,0.913043478261,24,745.89151
Stripe82,14,0.0,0.846153846154,14,756.042924
SuperWASP,1026,0.496644295302,1.0,150,1.13395999977
Hipparcos,847,0.0,0.943820224719,90,880.94511
Kepler,38,0.0,1.0,40,0.817355708
OGLE-I,1032,0.0,0.985815602837,142,860.81752
Hipparcos,1948,0.0,0.985221674877,204,1170.71598
Kepler,19,0.0,1.0,20,0.388249927
LINEAR,1083,0.0,0.986928104575,154,766.887601
OGLE-I,69,0.0,0.916666666667,25,760.04819
Kepler,195,0.0,1.0,100,2.043438425
LINEAR,522,0.0,0.978102189781,138,1176.864872
Kepler,37,0.0,1.0,39,0.79694885
OGLE-III,1774,0.0,0.992063492063,253,895.8027
Kepler,131,0.0,1.0,67,1.348684211
Stripe82,933,0.0,0.93,101,2339.809739
OGLE-III,214,0.0,0.988764044944,90,535.72788
OGLE-III,683,0.0,0.986013986014,144,852.81569
SuperWASP,30,0.473684210526,1.0,20,0.051870000083
